Title,Link,Time
" туреччина скоро може оголосити про відкриття нових родовищ вуглеводнів міністр енергетики туреччини фатіх донмез заявив, що незабаром може бути оголошено про відкриття нових родовищ вуглеводнів в середземному і чорному морях. ",https://www.epravda.com.ua/news/2020/09/13/665035/,12:52
" міноборони рф повідомило про проведення у білорусі військових навчань спільні тактичні навчання російських та білоруських військових ""слов'янське братство"" пройдуть з 14 по 25 вересня на полігоні ""брестський"" у білорусі. ",/news/2020/09/13/7266237/,12:46
 франція вперше перетнула поріг у 10 тисяч заражень covid-19 за добу у франції вперше з початку епідемії добовий приріст хворих на коронавірус перевищив позначку у 10 тисяч. ,https://www.eurointegration.com.ua/news/2020/09/13/7114296/,12:29
" відеопротести у білорусі: футболісти засудили насильницькі дії влади близько сотні білоруських футболістів вищої та першої ліг, зарубіжних чемпіонатів, молодіжної та національної збірних виступили із засудженням насильства в країні, яке чинять силовики. ",/news/2020/09/13/7266235/,12:17
 євросоюз хоче використовувати криптоактиви для відновлення економіки євросоюз має намір використовувати криптоактиви для реалізації плану відновлення економіки після коронакризи . ,https://www.epravda.com.ua/news/2020/09/13/665034/,11:42
" інфографікакиїв – лідер з поширення covid-19, десятки госпіталізованих і 310 нових хворих столиця україни залишається лідером по кількості нових заражень коронавірусом серед усіх регіонів. у суботу, 12 вересня, у києві виявили ще 310 випадків covid-19. ",/news/2020/09/13/7266233/,11:24
 відеоприкордонники взяли під посилену охорону кордон з білоруссю державна прикордонна служба україни проводить посилені заходи безпеки на українсько-білоруському кордоні. ,/news/2020/09/13/7266232/,11:00
 єс привітав намір встановлення дипломатичних відносин між бахрейном та ізраїлем єс привітав намір встановлення дипломатичних відносин між бахрейном та ізраїлем. ,/news/2020/09/13/7266231/,10:33
 лікарі розповіли про стан балуха стан колишнього бранця кремля кримчанина володимира балуха станом на 12 вересня залишається стабільно тяжким. ,/news/2020/09/13/7266230/,10:02
" в україну прийшло бабине літо, погода буде сухою й спекотною найближчими днями в україні опади малоймовірні, повітря вдень прогріється до 25-30°. ",/news/2020/09/13/7266229/,09:34
" таблицякоронавірус: в україні 2476 нових заражень та 30 смертей у суботу, 12 вересня, в україні виявили ще 2476 випадки covid-19, також хвороба забрала життя 30 людей. ",/news/2020/09/13/7266228/,09:04
 на донбасі зберігається режим припинення вогню – штаб оос 13 вересня на лінії розмежування на донбасі режим припинення вогню зберігається повною мірою. ,/news/2020/09/13/7266227/,08:34
" головні новини суботи і ночі: результати ""нормандського формату"", відставка голови чернігівської ода в україні та рф різні висновки щодо результатів зустрічі у ""нормандському форматі"", голова чернігівської ода йде з посади, бо не впливає на формування списку кандидатів до облради – новини, які були актуальні 12 вересня.  ",/news/2020/09/13/7266225/,08:00
" силовики затримали більше 250 ""жовтих жилетів"" у парижі поліція затримала 256 учасників акції протесту ""жовтих жилетів"" у парижі.  ",/news/2020/09/13/7266226/,06:48
" фотополіція знайшла поле із канабісом на запоріжжі поблизу мелітополя поліція викрила групу осіб, які вирощували канабіс на полі із соняшниками.  ",/news/2020/09/13/7266224/,05:31
" пандемія: третину нових випадків виявили в індії в індії за минулу добу зареєстрували 94,4 тисяч випадків коронавірусу, загалом у світі – 281 тисячу. ",/news/2020/09/13/7266223/,04:06
" під час жіночих акцій у білорусі затримали майже 70 осіб за попередніми даними, під час жіночого маршу у мінську та інших містах силовики затримали 69 осіб.  ",/news/2020/09/13/7266221/,02:45
" коронавірус на рівненщині: хворіють більше 2,5 тисяч осіб у рівненській області активними залишаються 2638 випадків коронавірусу.  ",/news/2020/09/13/7266220/,01:59
" компанія із сша допомагала заблокувати інтернет в білорусі – змі  американська компанія sandvine, за інформацією агенції bloomberg, надала білоруській владі технології для блокування інтернет-ресурсів. ",/news/2020/09/13/7266219/,01:04
 з початку пандемії на коронавірус захворіли більше 12 тисяч буковинців 12 вересня коронавірус підтвердили у 129 мешканців чернівецької області.  ,/news/2020/09/13/7266218/,00:20
" венедіктова вважає, що порошенко піариться на провадженнях проти нього генпрокурор ірина венедіктова вважає, що експрезиденту петру порошенку вигідний піар через відкриття проти нього ряду кримінальних проваджень. ",/news/2020/09/13/7266217/,00:19
